target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,1.5089279,1.2626622,-0.35697003,-0.19450959,-0.084209167,-0.097577074,-0.056093271,-0.12064684,0.26738147,0.2556306,0.33008306,0.20071194,-0.32404403,0.63765353,-0.75543077,0.31261732,-0.58103234,-0.46055925
1.0,-0.27295503,-1.0162387,-0.35697003,-0.19450959,-0.35180771,-0.11367012,-0.25614977,-0.11934647,2.2513485,2.25036,2.2011879,2.2875913,-1.8396017,1.5119264,-0.71695611,2.2101266,-0.98343695,-0.60899033
0.0,0.75505435,-0.12903304,-0.35697003,-0.19450959,0.3892338,-0.091378836,-0.3023172,-0.12628811,-0.1012775,-0.10589441,-0.057922314,-0.14761044,0.040457243,0.20619415,-0.38992187,-0.080863462,-0.5143566,-0.45635143
1.0,-1.6025138,-1.4685397,2.4101466,-0.19450959,-0.18713079,-0.10211935,-0.16381615,-0.12826898,1.9991082,1.990316,2.0173959,1.9637126,-1.7053116,1.7617187,-1.2748381,2.0237409,-0.89325876,-0.54050455
1.0,-1.5613935,1.3322469,-0.35697003,-0.19450959,0.47157121,-0.059714903,0.42096566,-0.097997796,0.43230785,0.38882388,0.53174378,0.35042955,-0.74609808,1.0180189,-0.97665976,0.5171238,-0.49871358,-0.48781359
1.0,-0.01252599,-0.38997589,-0.35697003,4.3903592,0.55390892,0.4964662,1.1134704,0.87147202,-0.70374376,-0.77186132,-0.65779909,-0.68537145,-0.045871991,-0.27068206,0.50461289,-0.6892055,1.1965971,-0.70220536
1.0,-0.28666183,1.1756812,-0.35697003,-0.19450959,0.49215558,-0.083293419,0.37479867,-0.090803776,0.68163766,0.64252558,0.80487903,0.56431177,-0.90916425,1.3813531,-1.4287364,0.79411345,-0.50504293,-0.45495031
0.0,1.2622056,-0.75529588,-0.35697003,-0.19450959,-0.49589831,-0.11429197,0.097796705,-0.12792749,-0.55531006,-0.5974414,-0.48166509,-0.59676309,0.069233626,0.03588116,-0.13021823,-0.51058595,0.27632931,-0.50433842
0.0,-0.25924824,-1.0162387,5.1772633,-0.19450959,0.12163535,-0.090392894,-0.040703988,-0.12609661,0.61760744,0.59495659,0.69766717,0.53681262,-0.70772957,1.0407275,-1.0536091,0.68538865,-0.61131169,-0.47118562
1.0,1.4266871,0.010136481,-0.35697003,-0.19450959,-0.3723915,-0.12565644,-0.42542905,-0.13437761,-0.81628174,-0.73380606,-0.85180177,-0.84425537,1.4121328,-0.90651684,0.11986673,-0.87559112,0.52105789,0.21046198
1.0,-0.84864029,-0.024655899,-0.35697003,-0.19450959,-0.70174286,-0.12730816,-0.67165295,-0.14017139,-0.961805,-0.93676741,-0.99219845,-0.93897464,1.0092631,-0.99167329,0.66812999,-1.0283238,2.5102207,-0.47335887
1.0,-0.38260937,-1.7816711,-0.35697003,-0.19450959,-0.35180725,-0.11367019,-0.30231745,-0.12539152,2.3512744,2.3454982,2.2675573,2.431198,-1.9642993,1.3699988,-0.3514473,2.2774325,-1.0151377,-0.65676138
